Prestadora,CNPJ,Número da Estação,Tipo da Estação,UF,Código da UF,Município,Código do Município,Logradouro,Latitude,Longitude,Frequência Inicial (MHz),Frequência Final (MHz),Azimute,Emissão
AMAZONIA CELULAR S/A,02340278000133,7811,FB,MA,21,São Luís,2111300,,-2.6402777777776666,-44.2669444444443333,890.00000000,891.50000000,250.0,40K0F1E
AMAZONIA CELULAR S/A,02340278000133,7811,FB,MA,21,São Luís,2111300,,-2.6402777777776666,-44.2669444444443333,890.00000000,891.50000000,270.0,40K0F8W
AMAZONIA CELULAR S/A,02340278000133,7811,FB,MA,21,São Luís,2111300,,-2.6402777777776666,-44.2669444444443333,1827.50000000,1830.00000000,.0,200KG7W
AMAZONIA CELULAR S/A,02340278000133,7811,FB,MA,21,São Luís,2111300,,-2.6402777777776666,-44.2669444444443333,1830.00000000,1832.50000000,230.0,200KG7W
AMAZONIA CELULAR S/A,02340278000133,7811,FB,MA,21,São Luís,2111300,,-2.6402777777776666,-44.2669444444443333,952.50000000,955.00000000,.0,200KG7W
AMAZONIA CELULAR S/A,02340278000133,7811,FB,MA,21,São Luís,2111300,,-2.6402777777776666,-44.2669444444443333,869.00000000,880.00000000,130.0,40K0F8W
AMAZONIA CELULAR S/A,02340278000133,7811,FB,MA,21,São Luís,2111300,,-2.6402777777776666,-44.2669444444443333,869.00000000,880.00000000,270.0,40K0F1D
AMAZONIA CELULAR S/A,02340278000133,7811,FB,MA,21,São Luís,2111300,,-2.6402777777776666,-44.2669444444443333,869.00000000,880.00000000,270.0,40K0F8W
AMAZONIA CELULAR S/A,02340278000133,7811,FB,MA,21,São Luís,2111300,,-2.6402777777776666,-44.2669444444443333,890.00000000,891.50000000,130.0,40K0F1E
AMAZONIA CELULAR S/A,02340278000133,7811,FB,MA,21,São Luís,2111300,,-2.6402777777776666,-44.2669444444443333,1830.00000000,1832.50000000,.0,200KG7W
AMAZONIA CELULAR S/A,02340278000133,7811,FB,MA,21,São Luís,2111300,,-2.6402777777776666,-44.2669444444443333,1825.00000000,1827.50000000,230.0,200KG7W
AMAZONIA CELULAR S/A,02340278000133,7811,FB,MA,21,São Luís,2111300,,-2.6402777777776666,-44.2669444444443333,1825.00000000,1827.50000000,.0,200KG7W
AMAZONIA CELULAR S/A,02340278000133,7811,FB,MA,21,São Luís,2111300,,-2.6402777777776666,-44.2669444444443333,952.50000000,955.00000000,230.0,200KG7W
AMAZONIA CELULAR S/A,02340278000133,7811,FB,MA,21,São Luís,2111300,,-2.6402777777776666,-44.2669444444443333,869.00000000,880.00000000,250.0,40K0F1D
AMAZONIA CELULAR S/A,02340278000133,7811,FB,MA,21,São Luís,2111300,,-2.6402777777776666,-44.2669444444443333,869.00000000,880.00000000,250.0,40K0F1E
AMAZONIA CELULAR S/A,02340278000133,7811,FB,MA,21,São Luís,2111300,,-2.6402777777776666,-44.2669444444443333,890.00000000,891.50000000,130.0,40K0F1D
AMAZONIA CELULAR S/A,02340278000133,7811,FB,MA,21,São Luís,2111300,,-2.6402777777776666,-44.2669444444443333,890.00000000,891.50000000,250.0,40K0F1D
AMAZONIA CELULAR S/A,02340278000133,7811,FB,MA,21,São Luís,2111300,,-2.6402777777776666,-44.2669444444443333,890.00000000,891.50000000,250.0,40K0F8W
AMAZONIA CELULAR S/A,02340278000133,7811,FB,MA,21,São Luís,2111300,,-2.6402777777776666,-44.2669444444443333,890.00000000,891.50000000,270.0,40K0F1D
AMAZONIA CELULAR S/A,02340278000133,7811,FB,MA,21,São Luís,2111300,,-2.6402777777776666,-44.2669444444443333,890.00000000,891.50000000,270.0,40K0F1E
TELEFÔNICA BRASIL S.A.,02558157000162,8249,FB,MG,31,Pouso Alegre,3152501,"TRAVESSA SEM NOME, ENTRE AS RUAS PARAISÓPOLIS E MARIA DAS DORES BARBOSA,S/N,ESPLANADA",-22.2183333333333333,-45.9383333333333333,869.00000000,880.00000000,80.0,30K0DXW
TELEFÔNICA BRASIL S.A.,02558157000162,8249,FB,MG,31,Pouso Alegre,3152501,"TRAVESSA SEM NOME, ENTRE AS RUAS PARAISÓPOLIS E MARIA DAS DORES BARBOSA,S/N,ESPLANADA",-22.2183333333333333,-45.9383333333333333,890.00000000,891.50000000,,30K0DXW
TELEFÔNICA BRASIL S.A.,02558157000162,8249,FB,MG,31,Pouso Alegre,3152501,"TRAVESSA SEM NOME, ENTRE AS RUAS PARAISÓPOLIS E MARIA DAS DORES BARBOSA,S/N,ESPLANADA",-22.2183333333333333,-45.9383333333333333,890.00000000,891.50000000,210.0,30K0DXW
